,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,"Associate Director, Data Science (Biomarker, Omics)",Employer Provided Salary:$192K - $288K,"200+ compounds are supported by the quantitative drug developers in Early Development Analytics at Novartis. We transform data from multiple sources - clinical, biomarker, digital sensor, imaging - into analyses and insights that build the basis for making innovative drugs accessible for patients. We influence decision-making in cross-functional international teams from early to late phase drug development.

The Early Development Analytics group is searching for an Associate Director Data Scientist. As the successful candidate, you will drive the biomarker strategy for early and late development clinical programs in multiple indications or a disease area, working closely with interdisciplinary teams to analyze and interpret biomarker data to inform critical project decisions and understand mechanisms of response/resistance to therapy. You will be responsible for designing and executing the biomarker strategy in those programs to inform drug development, and you will set the strategy for addressing biomarker issues in early/late phase trials, regulatory submissions and directly influence drug development decisions with internal and external partners.

What you’ll be doing: Your responsibilities include, but are not limited to:

This position will be located at the Cambridge, MA site and will not have the ability to be located remotely. This position may require 1% travel as defined by the business (domestic and/ or international).",4.0,"Novartis
4.0","Cambridge, MA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
1,Senior Developer Technology Engineer - AI,Employer Provided Salary:$176K - $334K,"NVIDIA is looking for a passionate, world-class computer scientist to work in its Compute Developer Technology (Devtech) team as an AI Developer Technology Engineer. Artificial intelligence, the dream of computer scientists for over half a century, is no longer science fiction. And in the next few years, it will transform every industry. Soon, self-driving cars will reduce congestion and improve road safety. AI travel agents will know your preferences and arrange every detail of your family vacation. And medical instruments will read and understand patient DNA to detect and treat early signs of cancer. Where engines made us stronger and powered the first industrial revolution, AI will make us smarter and power the next. What will make this intelligent industrial revolution possible? A new computing model — GPU deep learning — that enables computers to learn from data and write software that is too complex for people to code.
What you will be doing:
Study and develop cutting-edge techniques in deep learning, graphs, machine learning, and data analytics, and perform in-depth analysis and optimization to ensure the best possible performance on current- and next-generation GPU architectures.
The base salary range is $176,000 - $333,500. Your base salary will be determined based on your location, experience, and the pay of employees in similar positions.
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.",4.7,"NVIDIA
4.7","Santa Clara, CA",10000+ Employees,1993,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
2,Sr. Program Analyst (Data Analyst),Employer Provided Salary:$65K - $72K,"Organizational Development Resource Group (ODRG), LLC is a management consulting company that provides professional services to organizations within DoD, Federal, Commercial, and non - profit sectors. ODRG professional consultants provide management consulting and administrative support services. We assist our customers with strategic direction, implementation, and evaluation efforts that optimize their workforce and ultimately enhance the effectiveness of the organization. Our consultants have designed and delivered value added solutions for government and private organizations that have resulted in organizational effectiveness; process efficiency, strengthen workforce, and cost savings.
The Sr. Program Analyst must have experience in managing and analyzing data and utilizing various existing internal and external information technology applications and systems. The Sr. Program Analyst shall conduct both basic and complex data analysis to produce management information reports, written analytical reports, and presentations based on data analysis. The Sr. Program Analyst shall produce standardized document templates, mail merge files and other correspondence, and prepare and disseminate both individual and mass correspondence for distribution to recipients. The Sr. Program Analyst shall conduct analysis and make recommendations to improve the overall effectiveness and efficiency of Regional Office operations including quality assurance processes and modifications to improve the effectiveness of Regional Office internal work processes.",2.8,"Organizational Development Resource Group, LLC
2.8","Boston, MA",1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable
3,Data Scientist/Data Analyst,Employer Provided Salary:$75K - $85K,"Holman has an exciting Data Scientist opportunity!
Please note, this role does require you to be in office Tuesday through Thursday.
What will you do?
Own, manage, and distribute existing suite of reporting while maintaining critical perspective required to evolve into high power predictive analytics tools and insights
Develop and lead new, innovative analyses which may include dataset manipulation and transformation, piloting of AI and machine learning analytical techniques and technologies, and transformation of static reporting into dynamic visualizations
Responsible for data storytelling via decks and dashboards while efficiently relaying insights to non-technical audiences and senior leadership",3.8,"Holman
3.8","Mount Laurel, NJ",5001 to 10000 Employees,1924,Company - Private,Vehicle Dealers,Retail & Wholesale,$1 to $5 billion (USD)
4,Data Scientist Senior Technical Specialist,Employer Provided Salary:$119K - $285K,"Responsibilities
The Data Engineer will support the Sponsor's organization with leveraging best practices to implement means to efficiently create, organize, process, store, and utilize data collected from multiple sources. Responsibilities include, but are not limited to:
Provide technical expertise in the use of various data applications, tools, and services
Evaluate and recommend available data management tools, services, and products to support validated user and/or system requirements
Refining (and potentially re-defining) existing ETL (extract, transform, load) processes
Define file organization, indexing methods, and security procedures for specific user applications",4.1,"Arcfield
4.1","Reston, VA",1001 to 5000 Employees,2021,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD)
5,"Senior Data Scientist (On-Site in Wichita, KS)",$74K - $116K (Glassdoor est.),"DEPARTMENT: Analytics
JOB TITLE: Senior Data Scientist
REPORTS TO: Director of Analytics
WHO WE ARE: Nuvative is a parent company that is helping businesses meet their goals through innovative technology and impactful employees. To recruit and retain top-notch talent, we consciously work to make and keep Nuvative an employer of choice. We provide our employees with a culture of kindness, fairness, learning and development, contribution, collaboration, diversity, innovative and fun.
JOB PURPOSE: The Senior Data Scientist will provide accurate and timely data support, analysis and maintenance using statistical math and algorithms on a variety of reports, charts, models and projects that have a direct impact on all aspects of Net Pay Advance, Inc. The Senior Data Scientist works closely with the other Data Scientist regarding efficiency, analysis, quality goals, and market and product trends while supporting cross-functional teams on the day-to-day delivery of projects and initiatives.",4.0,"Nuvative, Inc.
4.0","Wichita, KS",1 to 50 Employees,2007,Company - Private,Banking & Lending,Financial Services,$5 to $25 million (USD)
6,Principal Data Scientist,Employer Provided Salary:$100K - $149K,"Requisition ID: R10102744
Category: Research and Sciences
Location: Clearfield, UT, USA
Citizenship Required: United States Citizenship
Clearance Type: Secret
Telecommute: No- Teleworking not available for this position
Shift: 1st Shift (United States of America)
Relocation Assistance: Relocation assistance may be available",4.0,"Northrop Grumman
4.0","Clearfield, UT",10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
7,Data Scientist,Employer Provided Salary:$76K - $121K,"MCAS New River Marine Corps Installations execute a number of installation service functions contributing to and ensuring the readiness and welfare of Marines. The Air Station readiness assessment process involves data collection and evaluation concerning the criticality of Air Station functional capabilities, resources, manpower and infrastructure based on tenant mission requirements to determine the overall readiness posture of Air Station’s operations.
Duties:
- Develop and implement data models, algorithms, and statistical techniques to analyze large datasets
-Develop models and simulations for additional Air Station services and functions
- Apply data mining techniques to extract insights and patterns from complex data sources",4.3,"Unity Technologies Corporation
4.3","Jacksonville, NC",1 to 50 Employees,-1,Company - Public,Business Consulting,Management & Consulting,Unknown / Non-Applicable
8,Data Scientist,Employer Provided Salary:$80K - $105K,"It's fun to work in a company where people truly BELIEVE in what they're doing!
We're committed to bringing passion and customer focus to the business.
Job purpose
Celink is rapidly building proprietary servicing system on AWS and automating manual servicing processes. Data is a critical part of our business and influences every aspect of the work that we do. The Data Management (DM) team is hiring a Data Scientist to focus on data analytical efforts. This role must ensure the successful completion of multiple statistical/analytical models that can be applied on Celink Data Lake that will provide insights for business operations.
As a Data Scientist, you will analyze complex mortgage and servicing operations data sets to extract valuable insights that can assist in making data-driven business decisions. You will need to understand the analytical use case and collaborate with available resources to comprehend the available data and determine the most suitable statistical/analytical model for the job. You will perform feature engineering and model selection. Once you have tested the model and obtained the desired results, you will present them using visualization tools like Power BI and “productionalize” the model for automated insights.",-1,Celink,Remote,-1,-1,-1,-1,-1,-1
9,Data Scientist,Employer Provided Salary:$165K,"Duties may include:
Work with various stakeholders to develop data strategies and provide the data necessary to meet AOEA requirements.
Collaborate across a diverse team utilizes industry standard technology, communication and visualization tools to enable line of business missions.
Use data mining for structured and unstructured information to satisfy deployer requests.
Apply advanced analytics capabilities to derive insights from a combination of unstructured, semi-structured, and structured data.
Maintain, move, and manipulate data between applications and across NGA Domains, using appropriate",5.0,"Trinity Global Consulting, LLC
5.0","Springfield, VA",1 to 50 Employees,2011,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
